SKU,Model,In_transit,Total_preorders,Stock,RSP,ETA_Almaty
4331210,Аккум. Циркулярная пила Einhell TP-CS 18/190 Li BL - Solo (4331210),0,0,21,115600,
4331100,Аккум. Циркулярная пила Einhell TE-CS 18/89 Li - Solo (4331100),0,0,0,74800,
4321200,Аккум. Лобзик Einhell TE-JS 18/80 Li-Solo (4321200),0,0,50,42800,
4321260,Аккум. Лобзик Einhell TP-JS 18/135 Li BL - Solo (4321260),-5,50,47,75400,
4321265,Аккум. Лобзик Einhell TP-JST 18/135 Li BL - Solo (4321265),0,50,0,99900,
4321228,"Аккум. Лобзик Einhell TC-JS 18 Li (1x2,5 Ah) (4321228)",0,0,3,68000,
4326290,Аккум. Сабельная пила Einhell TE-AP 18/26 Li - Solo (4326290),-5,54,0,68000,
4326310,Аккум. Сабельная пила Einhell TP-AP 18/28 Li BL - Solo (4326310),-5,52,27,81600,
4460708,Аккум. Мультишлифмашина Einhell TE-OS 18/150 Li Solo (4460708),0,64,0,29900,
4466270,Аккум. Ленточная шлифмашина Einhell TP-BS 18/457 Li BL - Solo (4466270),0,52,1,95200,
4462010,Аккум. Эксцентриковая шлифмашина Einhell TE-RS 18 Li-Solo (4462010),0,0,2,44200,
4462020,Аккум. Эксцентриковая шлифмашина + 3 шлифлиста Einhell TP-RS 18/32 Li BL - Solo (4462020),56,56,0,64600,16.12.2025
4259990,Аккум. Шлифмашина для стен и потолка Einhell TP-DW 18/225 Li - Solo (4259990),0,0,1,176800,
4259995,Аккум. Шлифмашина для стен и потолка Einhell TP-DWS 18/225 Li BL Solo (4259995),0,0,0,88400,
4460720,Аккум. Виброшлифмашина Einhell TE-OS 18/230 Li Solo (4460720),0,0,0,49900,
4460730,Аккум. Мультишлифмашина Einhell TE-OS 18/113 3X Li - Solo (4460730),0,0,10,64600,
4460731,Аккум. Мультишлифмашина Einhell TE-OS 18/113 Li - Solo (4460731),0,0,0,44200,
4260025,Аккум. Краскопульт Einhell TC-SY 18/60 Li-Solo (4260025),0,52,19,54400,
4260040,Аккум. Краскопульт Einhell TE-SY 18/90 Li-Solo (4260040),0,50,18,81600,
4514114,Аккум. Фонарь Einhell TE-CL 18/2000 LiAC - Solo (4514114),0,0,4,47600,
4514115,Аккум. Фонарь Einhell TC-CL 18/1800 Li - Solo (4514115),0,54,35,39900,
4514130,Аккум. Фонарь Einhell TC-CL 18 Li H-Solo (4514130),0,0,28,25100,
4514145,Аккум. Фонарь Einhell TE-CL 18/2500 LiAC-solo (4514145),0,0,7,59900,
4514172,Аккум. Фонарь Einhell TP-CL 18/3000 Li - Solo (4514172),0,0,42,67900,
4514175,Аккум. Фонарь Einhell TC-CL 18/350 Li - Solo (4514175),0,56,28,19900,
4514170,Аккум. Фонарь Einhell TP-CL 18/3000 Li Set - Solo (4514170),0,0,0,99900,
3408017,Аккум. Радио Einhell TC-RA 18 Li BT - Solo (3408017),0,52,0,44200,
4514150,Аккум. Колонка Einhell TC-SR 18 Li BT - Solo (4514150),0,60,12,19900,
4257785,Аккум. Скобозабиватель Einhell FIXETTO 18/38 S - Solo (4257785),0,0,14,125800,
4522200,Аккум. Клеевой пистолет Einhell TE-CG 18 Li - Solo (4522200),0,0,22,25800,
3408001,Аккум. Воздуходувка Einhell TE-CB 18/180 Li-Solo (3408001),-10,54,11,27200,
4520500,Аккум. Технический фен Einhell TE-HA 18 Li - Solo (4520500),-1,56,33,49000,
4257790,Аккум. Гвоздезабиватель Einhell TE-CN 18 Li - Solo (4257790),0,0,30,64600,
4257795,Аккум. Гвоздезабиватель Einhell FIXETTO 18/50 N - Solo (4257795),-10,0,0,129200,
4522250,Аккум. Пистолет для герметика Einhell TE-SG 18/10 Li - Solo (4522250),-10,50,28,67900,
4419360,Аккум. Гравер Einhell TE-MT 18/34 Li Solo (4419360),0,0,23,57800,
4326551,,0,0,0,0,
4300893,Аккум. Торцовочная пила Einhell TE-MS 18/8 Li-Solo (4300893),0,0,0,108800,
4300880,Аккум. Торцовочная пила Einhell TE-SM 36/210 Li - Solo (4300880),0,0,0,169900,
4300882,Аккум. Торцовочная пила Einhell TE-SM 36/8 L Li-Solo (4300882),0,0,0,169900,
4300885,Аккум. Торцовочная пила Einhell TE-SM 36/10 L Li-Solo (4300885),0,0,0,224400,
4504215,Аккум. Ленточная пила Einhell TE-MB 18/127 U Li-Solo (4504215),0,0,9,183600,
4504216,Аккум. Ленточная пила Einhell TE-MB 18/127 Li-Solo (4504216),0,0,9,136000,
4020430,Аккум. Компрессор Einhell PRESSITO 18/25 Hybrid - Solo (4020430),0,0,4,81600,
4020460,Аккум. Компрессор Einhell PRESSITO - Solo (4020460),-5,0,3,68000,
4020410,Аккум. Компрессор Einhell TE-AC 18/75 Li OF-Solo (4020410),0,0,0,129200,
4020420,Аккум. Компрессор Einhell PRESSITO 18/25 - Solo (4020420),0,52,0,64600,
4020467,Аккум. Компрессор Einhell PRESSITO 18/21 - Solo (4020467),0,0,2,49900,
4020440,Аккум. Компрессор Einhell TE-AC 36/8 Li OF Set-Solo (4020440),0,0,0,99900,
4301190,Аккум. Плиткорез Einhell TE-TC 18/115 Li-Solo (4301190),0,0,0,74800,
4514120,USB-адаптер Einhell TC-CP 18 Li USB-Solo (4514120),0,0,65,9900,
4514160,Аккум. Очиститель труб Einhell TE-DA 18/760 Li Solo (4514160),0,52,0,81600,
4140130,,0,0,0,102400,
4609990,Аккум. Кофемашина Einhell TE-CF 18 Li-Solo (4609990),0,0,4,47600,
3437100,Аккум. Очиститель окон Einhell BRILLIANTO - Solo (3437100),0,0,20,39000,
3437110,Аккум. Швабра Einhell CLEANEXXO - Solo (3437110),0,0,10,115600,
2347180,Аккум. Пылесос Einhell TE-SV 18 Li-Solo (2347180),0,0,16,88400,
4609991,Кружка Einhell Coffee Cup TE-CF 18 Li-Solo (4609991),0,0,20,5900,
2351265,Запасная щетка Einhell Replacement brush (2351265),0,0,0,6800,
2351266,Моющийся фильтр Einhell washable filter (2351266),0,0,0,4700,
2351267,Комплект аксессуаров с шлангом Einhell Accessory set with hose (2351267),0,0,0,18300,
3437101,Телескопический набор BRILLIANTO Einhell Teleskopstangenset BRILLIANTO (3437101),0,0,14,37400,
3437102,Набор насадок BRILLIANTO Einhell Düsenset BRILLIANTO (3437102),0,0,0,13600,
3437111,Щеточный валик CLEANEXXO Einhell Bürstenwalze CLEANEXXO (3437111),0,0,0,10200,
2352040,Аккум. Машина для подметания Einhell TE-SW 18/610 Li-Solo (2352040),0,50,9,136000,
2352050,Аккум. Машина для подметания Einhell TE-FS 18 Li-Solo (2352050),0,0,0,59600,
2347120,Аккум. Пылесос Einhell TE-VC 18 Li-Solo (2347120),0,52,24,32900,
2347190,Аккум. Пылесос Einhell TE-HV 18/06 Li - Solo (2347190),0,52,19,47600,
2347130,Аккум. Пылесос Einhell TC-VC 18/20 Li S-Solo (2347130),0,0,0,49900,
